season_num,total_matches,home_wins,win_rate,sma_10
5258,7,5,0.7142857142857143,0.5480699855699857
5259,10,6,0.6,0.5747366522366522
5260,9,7,0.7777777777777778,0.61501443001443
5261,14,6,0.42857142857142855,0.6007287157287158
5262,10,6,0.6,0.6178715728715728
5263,8,5,0.625,0.6167352092352092
5264,10,6,0.6,0.6040079365079365
5265,13,6,0.46153846153846156,0.6057173382173382
5266,11,5,0.45454545454545453,0.6011718836718837
5267,8,3,0.375,0.5636718836718837
5268,8,3,0.375,0.5297433122433122
5269,11,6,0.5454545454545454,0.5242887667887668
5270,9,5,0.5555555555555556,0.5020665445665446
5271,11,5,0.45454545454545453,0.5046639471639471
5272,13,9,0.6923076923076923,0.5138947163947164
5273,12,5,0.4166666666666667,0.49306138306138314
5274,13,11,0.8461538461538461,0.5176767676767676
5275,15,7,0.4666666666666667,0.5181895881895882
5276,12,4,0.3333333333333333,0.5060683760683761
5277,10,6,0.6,0.528568376068376
5278,12,6,0.5,0.541068376068376
5279,7,5,0.7142857142857143,0.5579514929514929
5280,11,3,0.2727272727272727,0.5296686646686647
5281,15,5,0.3333333333333333,0.5175474525474526
5282,7,3,0.42857142857142855,0.4911738261738262
5283,2,1,0.5,0.4995071595071595
