result_id,season_name,season_id,matchday_number,event_id,home_team,away_team,home_goals,away_goals,total_goals,o15,o25,u25,u35,gg,ng,has_core_odds,has_league_snapshot,over_15,over_25,under_25,under_35,gg_yes,ng_yes,home_win,draw,away_win
167562,VFLM 5271,vf:season:3096550,15,vf:match:season:vflm5271:md:15:Leeds:ManchesterBlue,Leeds,Manchester Blue,2,2,4,,,,,,,False,True,True,True,False,False,True,False,False,True,False
66322,VFLM 5271,vf:season:3096550,15,vf:match:1403671243,Leeds,Aston Villa,2,0,2,1.65,2.85,1.35,1.1,2.45,1.5,True,True,True,False,True,True,False,True,True,False,False
66321,VFLM 5271,vf:season:3096550,15,vf:match:1403671240,Liverpool,Crystal Palace,4,1,5,1.22,1.7,2.0,1.4,2.25,1.6,True,True,True,True,False,False,True,False,True,False,False
167564,VFLM 5271,vf:season:3096550,15,vf:match:season:vflm5271:md:15:Liverpool:ManchesterRed,Liverpool,Manchester Red,1,0,1,,,,,,,False,True,False,False,True,True,False,True,True,False,False
66318,VFLM 5271,vf:season:3096550,15,vf:match:1403671238,London Guns,West Ham,3,0,3,1.14,1.5,2.4,1.55,1.55,2.35,True,True,True,True,False,True,False,True,True,False,False
66323,VFLM 5271,vf:season:3096550,15,vf:match:1403671242,Newcastle,Manchester Blue,1,1,2,1.2,1.65,2.15,1.4,1.7,2.0,True,True,True,False,True,True,True,False,False,True,False
167560,VFLM 5271,vf:season:3096550,15,vf:match:season:vflm5271:md:15:Tottenham:Newcastle,Tottenham,Newcastle,2,1,3,,,,,,,False,True,True,True,False,True,True,False,True,False,False
167557,VFLM 5271,vf:season:3096550,15,vf:match:season:vflm5271:md:15:WestHam:Chelsea,West Ham,Chelsea,1,3,4,,,,,,,False,True,True,True,False,False,True,False,False,False,True
66319,VFLM 5271,vf:season:3096550,15,vf:match:1403671244,Wolverhampton,Everton,0,0,0,1.4,2.15,1.65,1.18,1.95,1.75,True,True,False,False,True,True,False,True,False,True,False
66328,VFLM 5271,vf:season:3096550,16,vf:season:3096550:16:Aston Villa:Newcastle,Aston Villa,Newcastle,0,1,1,1.3,2.0,1.75,1.22,2.4,1.5,True,True,False,False,True,True,False,True,False,False,True
167546,VFLM 5271,vf:season:3096550,16,vf:match:season:vflm5271:md:16:AstonVilla:Chelsea,Aston Villa,Chelsea,1,3,4,,,,,,,False,True,True,True,False,False,True,False,False,False,True
66324,VFLM 5271,vf:season:3096550,16,vf:season:3096550:16:Bournemouth:Everton,Bournemouth,Everton,1,1,2,1.55,2.7,1.4,1.12,2.35,1.55,True,True,True,False,True,True,True,False,False,True,False
66329,VFLM 5271,vf:season:3096550,16,vf:season:3096550:16:Chelsea:Brighton,Chelsea,Brighton,0,1,1,1.25,1.85,1.9,1.35,1.9,1.8,True,True,False,False,True,True,False,True,False,False,True
66326,VFLM 5271,vf:season:3096550,16,vf:season:3096550:16:Fulham:West Ham,Fulham,West Ham,1,0,1,1.4,2.1,1.65,1.2,1.9,1.8,True,True,False,False,True,True,False,True,True,False,False
66325,VFLM 5271,vf:season:3096550,16,vf:season:3096550:16:Leeds:Manchester Red,Leeds,Manchester Red,2,0,2,1.55,2.55,1.45,1.12,2.45,1.5,True,True,True,False,True,True,False,True,True,False,False
167547,VFLM 5271,vf:season:3096550,16,vf:match:season:vflm5271:md:16:Leeds:Brighton,Leeds,Brighton,1,1,2,,,,,,,False,True,True,False,True,True,True,False,False,True,False
167544,VFLM 5271,vf:season:3096550,16,vf:match:season:vflm5271:md:16:Liverpool:CrystalPalace,Liverpool,Crystal Palace,2,1,3,,,,,,,False,True,True,True,False,True,True,False,True,False,False
