# WC pattern chains — spot what leads to odd (1) vs even (0) goals
# MD: 8 bits = WC slots 1..8 | tokens = slot:HW×FW:bit

=== VFLM 5397 ===
  MD16 00011100 | 1:UMW×HW:0 2:UMW×HW:0 3:UMW×HW:0 4:HW×FW:1 5:UMW×LMW:1 6:LMW×LMW:1 7:LMW×FW:0 8:FW×FW:0
  MD17 11010111 | 1:HW×UMW:1 2:FW×HW:1 3:HW×FW:0 4:HW×LMW:1 5:FW×UMW:0 6:LMW×UMW:1 7:LMW×UMW:1 8:FW×LMW:1
  MD18 00111000 | 1:HW×HW:0 2:UMW×HW:0 3:HW×FW:1 4:UMW×FW:1 5:UMW×LMW:1 6:UMW×LMW:0 7:LMW×FW:0 8:LMW×FW:0
  MD19 00101010 | 1:HW×HW:0 2:HW×UMW:0 3:LMW×HW:1 4:FW×UMW:0 5:FW×UMW:1 6:FW×UMW:0 7:FW×LMW:1 8:LMW×LMW:0
  MD20 10100001 | 1:UMW×HW:1 2:UMW×HW:0 3:HW×FW:1 4:FW×HW:0 5:UMW×LMW:0 6:UMW×LMW:0 7:LMW×FW:0 8:LMW×FW:1
  MD21 10100111 | 1:HW×UMW:1 2:UMW×UMW:0 3:HW×LMW:1 4:LMW×HW:0 5:FW×HW:0 6:LMW×UMW:1 7:FW×LMW:1 8:FW×FW:1
  MD22 00010010 | 1:UMW×HW:0 2:HW×FW:0 3:LMW×HW:0 4:HW×FW:1 5:UMW×FW:0 6:UMW×LMW:0 7:UMW×LMW:1 8:FW×LMW:0
  MD23 01110000 | 1:HW×UMW:0 2:HW×HW:1 3:FW×HW:1 4:LMW×UMW:1 5:FW×UMW:0 6:LMW×UMW:0 7:LMW×LMW:0 8:FW×FW:0
  MD24 00110101 | 1:HW×HW:0 2:UMW×UMW:0 3:LMW×HW:1 4:HW×LMW:1 5:UMW×FW:0 6:UMW×LMW:1 7:FW×LMW:0 8:FW×FW:1
  MD25 01011111 | 1:HW×HW:0 2:UMW×UMW:1 3:LMW×HW:0 4:LMW×HW:1 5:UMW×FW:1 6:FW×UMW:1 7:LMW×FW:1 8:LMW×FW:1
  MD26 01011101 | 1:HW×HW:0 2:UMW×HW:1 3:HW×LMW:0 4:UMW×LMW:1 5:FW×UMW:1 6:FW×UMW:1 7:LMW×LMW:0 8:FW×FW:1
  MD27 00010001 | 1:UMW×HW:0 2:UMW×UMW:0 3:HW×FW:0 4:LMW×HW:1 5:FW×HW:0 6:UMW×LMW:0 7:LMW×FW:0 8:FW×LMW:1
  MD28 10100100 | 1:UMW×HW:1 2:HW×UMW:0 3:HW×UMW:1 4:HW×FW:0 5:LMW×UMW:0 6:LMW×LMW:1 7:FW×LMW:0 8:FW×FW:0
  MD29 01101001 | 1:UMW×HW:0 2:HW×LMW:1 3:FW×HW:1 4:FW×HW:0 5:UMW×FW:1 6:LMW×UMW:0 7:UMW×FW:0 8:LMW×LMW:1
  MD30 10100111 | 1:HW×HW:1 2:UMW×UMW:0 3:LMW×HW:1 4:HW×FW:0 5:FW×UMW:0 6:FW×UMW:1 7:FW×LMW:1 8:LMW×LMW:1

=== VFLM 5400 ===
  MD01 10010110 | 1:LMW×LMW:1 2:LMW×LMW:0 3:LMW×LMW:0 4:LMW×LMW:1 5:LMW×LMW:0 6:LMW×LMW:1 7:LMW×LMW:1 8:LMW×LMW:0
  MD02 11001011 | 1:HW×HW:1 2:UMW×UMW:1 3:UMW×UMW:0 4:HW×LMW:0 5:FW×HW:1 6:LMW×FW:0 7:LMW×LMW:1 8:FW×FW:1
  MD03 11110010 | 1:HW×UMW:1 2:HW×UMW:1 3:HW×LMW:1 4:LMW×HW:1 5:UMW×FW:0 6:UMW×LMW:0 7:LMW×FW:1 8:FW×FW:0
  MD04 01101001 | 1:UMW×HW:0 2:UMW×HW:1 3:FW×HW:1 4:LMW×HW:0 5:FW×UMW:1 6:UMW×LMW:0 7:LMW×LMW:0 8:FW×FW:1
  MD05 00010011 | 1:HW×UMW:0 2:HW×LMW:0 3:HW×FW:0 4:FW×HW:1 5:FW×UMW:0 6:UMW×LMW:0 7:LMW×UMW:1 8:LMW×FW:1
