event_id,home_team,away_team,E_total_ou_cdf,E_total_exact_goals,E_total_h2h,E_total_blend,P_T_pmf_ou,top_scorelines_book_cs,top_scorelines_model,actual_total
vf:match:1404291834,Fulham,Leeds,,,1.716,1.716,,[],"[{'scoreline': '0:0', 'p': 0.1798}, {'scoreline': '1:0', 'p': 0.1604}, {'scoreline': '0:1', 'p': 0.1481}]",3
vf:match:1404291833,Tottenham,Bournemouth,,,2.498,2.498,,[],"[{'scoreline': '1:1', 'p': 0.1281}, {'scoreline': '1:0', 'p': 0.1068}, {'scoreline': '0:1', 'p': 0.0986}]",1
vf:match:1404291832,Manchester Blue,Manchester Red,,,2.676,2.676,,[],"[{'scoreline': '1:1', 'p': 0.123}, {'scoreline': '1:0', 'p': 0.0958}, {'scoreline': '0:1', 'p': 0.0884}]",0
vf:match:1404291831,Everton,Newcastle,,,2.013,2.013,,[],"[{'scoreline': '1:0', 'p': 0.1398}, {'scoreline': '1:1', 'p': 0.1351}, {'scoreline': '0:0', 'p': 0.1336}]",1
vf:match:1404291830,West Ham,Aston Villa,,,2.437,2.437,,[],"[{'scoreline': '1:1', 'p': 0.1296}, {'scoreline': '1:0', 'p': 0.1108}, {'scoreline': '0:1', 'p': 0.1023}]",3
vf:match:1404291829,Crystal Palace,Liverpool,,,2.831,2.831,,[],"[{'scoreline': '1:1', 'p': 0.1179}, {'scoreline': '2:1', 'p': 0.0868}, {'scoreline': '1:0', 'p': 0.0868}]",2
vf:match:1404287352,Manchester Red,Wolverhampton,,,3.061,3.061,,[],"[{'scoreline': '1:1', 'p': 0.1095}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",4
vf:match:1404287351,Bournemouth,Aston Villa,,,2.331,2.331,,[],"[{'scoreline': '1:1', 'p': 0.1318}, {'scoreline': '1:0', 'p': 0.1178}, {'scoreline': '0:1', 'p': 0.1088}]",4
vf:match:1404287350,Liverpool,Fulham,,,2.307,2.307,,[],"[{'scoreline': '1:1', 'p': 0.1323}, {'scoreline': '1:0', 'p': 0.1194}, {'scoreline': '0:1', 'p': 0.1102}]",3
vf:match:1404287349,London Guns,Leeds,,,2.318,2.318,,[],"[{'scoreline': '1:1', 'p': 0.1321}, {'scoreline': '1:0', 'p': 0.1187}, {'scoreline': '0:1', 'p': 0.1096}]",1
vf:match:1404287348,Crystal Palace,West Ham,,,2.735,2.735,,[],"[{'scoreline': '1:1', 'p': 0.1212}, {'scoreline': '1:0', 'p': 0.0923}, {'scoreline': '2:1', 'p': 0.0862}]",3
vf:match:1404287347,Everton,Newcastle,,,2.013,2.013,,[],"[{'scoreline': '1:0', 'p': 0.1398}, {'scoreline': '1:1', 'p': 0.1351}, {'scoreline': '0:0', 'p': 0.1336}]",0
vf:match:1404287346,Chelsea,Brighton,,,2.796,2.796,,[],"[{'scoreline': '1:1', 'p': 0.1191}, {'scoreline': '1:0', 'p': 0.0888}, {'scoreline': '2:1', 'p': 0.0866}]",3
vf:match:1404287345,Tottenham,Manchester Blue,,,3.208,3.208,,[],"[{'scoreline': '1:1', 'p': 0.1039}, {'scoreline': '2:1', 'p': 0.0866}, {'scoreline': '1:2', 'p': 0.08}]",5
vf:match:1404287344,Leeds,Crystal Palace,,,2.106,2.106,,[],"[{'scoreline': '1:1', 'p': 0.1348}, {'scoreline': '1:0', 'p': 0.1333}, {'scoreline': '0:1', 'p': 0.123}]",0
vf:match:1404287343,Fulham,Chelsea,,,2.637,2.637,,[],"[{'scoreline': '1:1', 'p': 0.1242}, {'scoreline': '1:0', 'p': 0.0981}, {'scoreline': '0:1', 'p': 0.0906}]",0
vf:match:1404287342,Wolverhampton,Everton,,,2.384,2.384,,[],"[{'scoreline': '1:1', 'p': 0.1308}, {'scoreline': '1:0', 'p': 0.1143}, {'scoreline': '0:1', 'p': 0.1055}]",0
vf:match:1404287341,Manchester Blue,Aston Villa,,,2.749,2.749,,[],"[{'scoreline': '1:1', 'p': 0.1207}, {'scoreline': '1:0', 'p': 0.0915}, {'scoreline': '2:1', 'p': 0.0863}]",0
vf:match:1404287340,Liverpool,Bournemouth,,,2.779,2.779,,[],"[{'scoreline': '1:1', 'p': 0.1197}, {'scoreline': '1:0', 'p': 0.0897}, {'scoreline': '2:1', 'p': 0.0865}]",0
vf:match:1404287339,Brighton,London Guns,,,2.561,2.561,,[],"[{'scoreline': '1:1', 'p': 0.1264}, {'scoreline': '1:0', 'p': 0.1028}, {'scoreline': '0:1', 'p': 0.0949}]",0
vf:match:1404287338,Newcastle,Tottenham,,,2.559,2.559,,[],"[{'scoreline': '1:1', 'p': 0.1265}, {'scoreline': '1:0', 'p': 0.103}, {'scoreline': '0:1', 'p': 0.095}]",0
vf:match:1404287337,West Ham,Manchester Red,,,2.702,2.702,,[],"[{'scoreline': '1:1', 'p': 0.1222}, {'scoreline': '1:0', 'p': 0.0942}, {'scoreline': '0:1', 'p': 0.087}]",0
vf:match:1404287336,Crystal Palace,Brighton,,,2.779,2.779,,[],"[{'scoreline': '1:1', 'p': 0.1197}, {'scoreline': '1:0', 'p': 0.0897}, {'scoreline': '2:1', 'p': 0.0865}]",5
vf:match:1404287335,Aston Villa,Newcastle,,,2.405,2.405,,[],"[{'scoreline': '1:1', 'p': 0.1303}, {'scoreline': '1:0', 'p': 0.1129}, {'scoreline': '0:1', 'p': 0.1042}]",5
vf:match:1404287334,Everton,West Ham,,,2.331,2.331,,[],"[{'scoreline': '1:1', 'p': 0.1318}, {'scoreline': '1:0', 'p': 0.1178}, {'scoreline': '0:1', 'p': 0.1088}]",3
vf:match:1404287333,Chelsea,Liverpool,,,2.742,2.742,,[],"[{'scoreline': '1:1', 'p': 0.1209}, {'scoreline': '1:0', 'p': 0.0919}, {'scoreline': '2:1', 'p': 0.0862}]",3
vf:match:1404287332,Bournemouth,Manchester Blue,,,2.947,2.947,,[],"[{'scoreline': '1:1', 'p': 0.1138}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",0
vf:match:1404287331,Manchester Red,Leeds,,,2.308,2.308,,[],"[{'scoreline': '1:1', 'p': 0.1322}, {'scoreline': '1:0', 'p': 0.1194}, {'scoreline': '0:1', 'p': 0.1102}]",1
vf:match:1404287330,Tottenham,Wolverhampton,,,2.987,2.987,,[],"[{'scoreline': '1:1', 'p': 0.1123}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",3
vf:match:1404287329,London Guns,Fulham,,,2.571,2.571,,[],"[{'scoreline': '1:1', 'p': 0.1261}, {'scoreline': '1:0', 'p': 0.1022}, {'scoreline': '0:1', 'p': 0.0944}]",4
vf:match:1404287328,West Ham,Tottenham,,,2.727,2.727,,[],"[{'scoreline': '1:1', 'p': 0.1214}, {'scoreline': '1:0', 'p': 0.0928}, {'scoreline': '2:1', 'p': 0.0861}]",2
vf:match:1404287327,Chelsea,Bournemouth,,,2.558,2.558,,[],"[{'scoreline': '1:1', 'p': 0.1265}, {'scoreline': '1:0', 'p': 0.103}, {'scoreline': '0:1', 'p': 0.0951}]",2
vf:match:1404287326,Leeds,Everton,,,1.642,1.642,,[],"[{'scoreline': '0:0', 'p': 0.1936}, {'scoreline': '1:0', 'p': 0.1653}, {'scoreline': '0:1', 'p': 0.1526}]",0
vf:match:1404287325,Fulham,Crystal Palace,,,2.106,2.106,,[],"[{'scoreline': '1:1', 'p': 0.1348}, {'scoreline': '1:0', 'p': 0.1333}, {'scoreline': '0:1', 'p': 0.123}]",1
vf:match:1404287324,Brighton,Manchester Red,,,2.595,2.595,,[],"[{'scoreline': '1:1', 'p': 0.1255}, {'scoreline': '1:0', 'p': 0.1007}, {'scoreline': '0:1', 'p': 0.093}]",1
vf:match:1404287323,Wolverhampton,Aston Villa,,,2.794,2.794,,[],"[{'scoreline': '1:1', 'p': 0.1192}, {'scoreline': '1:0', 'p': 0.0889}, {'scoreline': '2:1', 'p': 0.0866}]",1
vf:match:1404287322,Newcastle,Manchester Blue,,,3.073,3.073,,[],"[{'scoreline': '1:1', 'p': 0.1091}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",3
vf:match:1404287321,Liverpool,London Guns,,,2.988,2.988,,[],"[{'scoreline': '1:1', 'p': 0.1123}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",6
vf:match:1404287320,Tottenham,Leeds,,,2.042,2.042,,[],"[{'scoreline': '1:0', 'p': 0.1378}, {'scoreline': '1:1', 'p': 0.1351}, {'scoreline': '0:0', 'p': 0.1298}]",0
vf:match:1404287319,London Guns,Chelsea,,,3.039,3.039,,[],"[{'scoreline': '1:1', 'p': 0.1104}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",4
vf:match:1404287318,Manchester Blue,Wolverhampton,,,3.378,3.378,,[],"[{'scoreline': '1:1', 'p': 0.0972}, {'scoreline': '2:1', 'p': 0.0853}, {'scoreline': '1:2', 'p': 0.0788}]",4
vf:match:1404287317,Aston Villa,West Ham,,,2.437,2.437,,[],"[{'scoreline': '1:1', 'p': 0.1296}, {'scoreline': '1:0', 'p': 0.1108}, {'scoreline': '0:1', 'p': 0.1023}]",2
vf:match:1404287316,Bournemouth,Newcastle,,,2.269,2.269,,[],"[{'scoreline': '1:1', 'p': 0.1329}, {'scoreline': '1:0', 'p': 0.122}, {'scoreline': '0:1', 'p': 0.1126}]",0
vf:match:1404287315,Crystal Palace,Liverpool,,,2.831,2.831,,[],"[{'scoreline': '1:1', 'p': 0.1179}, {'scoreline': '2:1', 'p': 0.0868}, {'scoreline': '1:0', 'p': 0.0868}]",2
