home_team,away_team,n,n_odd,avg_total_goals,seasons_seen,distinct_mds,n_even,pct_odd,pct_even,dominant,dominant_pct,home_tier,away_tier
Liverpool,Fulham,836,318,2.425837320574163,514,30,518,38.04,61.96,Even,61.96,T1,T4
London Guns,Manchester Red,836,444,2.9545454545454546,521,30,392,53.11,46.89,Odd,53.11,T1,T1
Tottenham,Liverpool,836,402,2.7559808612440193,515,30,434,48.09,51.91,Even,51.91,T1,T1
Manchester Blue,Aston Villa,835,454,2.8718562874251496,517,30,381,54.37,45.63,Odd,54.37,T1,T2
Manchester Blue,London Guns,835,409,3.3568862275449103,511,30,426,48.98,51.02,Even,51.02,T1,T1
Newcastle,Manchester Blue,835,451,2.882634730538922,506,30,384,54.01,45.99,Odd,54.01,T3,T1
Wolverhampton,London Guns,835,397,2.7365269461077846,512,30,438,47.54,52.46,Even,52.46,T3,T1
Liverpool,Manchester Blue,834,400,3.0071942446043165,510,30,434,47.96,52.04,Even,52.04,T1,T1
Fulham,Newcastle,834,446,2.0887290167865706,513,30,388,53.48,46.52,Odd,53.48,T4,T3
West Ham,Liverpool,834,481,2.5239808153477217,514,30,353,57.67,42.33,Odd,57.67,T2,T1
London Guns,Bournemouth,834,454,2.904076738609113,509,30,380,54.44,45.56,Odd,54.44,T1,T4
Chelsea,Everton,834,412,2.6402877697841727,515,30,422,49.4,50.6,Even,50.6,T1,T2
Bournemouth,Brighton,834,447,1.9940047961630696,513,30,387,53.6,46.4,Odd,53.6,T4,T2
Wolverhampton,Newcastle,834,404,2.9400479616306954,514,30,430,48.44,51.56,Even,51.56,T3,T3
West Ham,London Guns,833,325,2.9807923169267707,509,30,508,39.02,60.98,Even,60.98,T2,T1
Liverpool,Wolverhampton,833,377,2.9735894357743096,518,30,456,45.26,54.74,Even,54.74,T1,T3
Tottenham,Aston Villa,833,446,2.3073229291716686,514,30,387,53.54,46.46,Odd,53.54,T1,T2
Manchester Red,Fulham,833,447,2.454981992797119,512,30,386,53.66,46.34,Odd,53.66,T1,T4
Chelsea,Liverpool,833,436,2.6698679471788718,512,30,397,52.34,47.66,Odd,52.34,T1,T1
Crystal Palace,Wolverhampton,833,296,2.7875150060024008,510,30,537,35.53,64.47,Even,64.47,T3,T3
Bournemouth,Chelsea,833,375,2.3157262905162064,508,30,458,45.02,54.98,Even,54.98,T4,T1
West Ham,Aston Villa,832,428,2.1826923076923075,515,30,404,51.44,48.56,Odd,51.44,T2,T2
Bournemouth,Fulham,832,407,1.9795673076923077,506,30,425,48.92,51.08,Even,51.08,T4,T4
Newcastle,West Ham,831,421,2.9614921780986765,504,30,410,50.66,49.34,Odd,50.66,T3,T2
Leeds,Crystal Palace,831,420,2.1107099879663056,504,30,411,50.54,49.46,Odd,50.54,T3,T3
West Ham,Everton,831,408,2.368231046931408,510,30,423,49.1,50.9,Even,50.9,T2,T2
Tottenham,Fulham,831,449,2.3501805054151625,505,30,382,54.03,45.97,Odd,54.03,T1,T4
Manchester Red,Newcastle,830,383,2.7674698795180723,511,30,447,46.14,53.86,Even,53.86,T1,T3
Wolverhampton,Crystal Palace,830,426,3.036144578313253,510,30,404,51.33,48.67,Odd,51.33,T3,T3
Aston Villa,Liverpool,830,511,2.386746987951807,517,30,319,61.57,38.43,Odd,61.57,T2,T1
Leeds,Wolverhampton,830,449,2.442168674698795,513,30,381,54.1,45.9,Odd,54.1,T3,T3
Aston Villa,London Guns,830,405,2.095180722891566,508,30,425,48.8,51.2,Even,51.2,T2,T1
