team,opponent,role,n,mean_team_goals,mean_opp_goals,mean_total,pct_odd_total,pct_win
Liverpool,London Guns,home,847,1.771,1.165,2.936,53.25,53.36
Liverpool,Manchester Blue,away,857,1.3,1.593,2.893,53.56,37.92
Liverpool,Manchester Blue,home,849,1.813,1.23,3.042,48.88,48.53
Liverpool,Manchester Red,away,872,1.167,1.685,2.852,47.82,25.69
Liverpool,Manchester Red,home,817,1.551,1.037,2.588,45.04,52.14
Liverpool,Newcastle,away,813,1.598,0.843,2.44,43.79,53.75
Liverpool,Newcastle,home,873,2.479,0.589,3.068,53.84,82.93
Liverpool,Tottenham,away,851,1.216,1.562,2.778,47.24,26.44
Liverpool,Tottenham,home,847,1.893,1.047,2.94,51.48,59.15
Liverpool,West Ham,away,856,1.569,0.935,2.504,56.89,51.17
Liverpool,West Ham,home,826,1.907,0.817,2.724,50.85,64.04
Liverpool,Wolverhampton,away,838,1.703,1.056,2.759,53.7,56.32
Liverpool,Wolverhampton,home,849,2.247,0.731,2.979,44.41,76.09
London Guns,Aston Villa,away,864,0.858,1.214,2.072,48.84,27.66
London Guns,Aston Villa,home,897,1.353,1.078,2.431,49.61,44.15
London Guns,Bournemouth,away,872,1.585,0.894,2.479,47.25,49.77
London Guns,Bournemouth,home,835,2.212,0.692,2.904,54.49,76.77
London Guns,Brighton,away,856,1.279,1.053,2.332,60.28,41.0
London Guns,Brighton,home,845,1.925,0.869,2.794,39.64,60.71
London Guns,Chelsea,away,880,1.168,1.631,2.799,61.93,28.52
London Guns,Chelsea,home,836,1.855,1.437,3.292,45.22,45.81
London Guns,Crystal Palace,away,804,1.934,1.082,3.016,50.12,54.6
London Guns,Crystal Palace,home,848,2.226,0.834,3.06,51.77,68.87
London Guns,Everton,away,805,1.161,1.04,2.201,39.25,36.02
London Guns,Everton,home,857,1.579,0.943,2.522,46.32,49.82
London Guns,Fulham,away,829,1.532,0.764,2.296,60.19,59.47
London Guns,Fulham,home,873,2.097,0.735,2.833,58.08,70.33
London Guns,Leeds,away,840,1.252,0.787,2.039,48.21,48.33
London Guns,Leeds,home,832,1.832,0.767,2.599,53.85,65.26
London Guns,Liverpool,away,847,1.165,1.771,2.936,53.25,25.03
London Guns,Liverpool,home,824,1.439,1.602,3.041,54.37,32.77
London Guns,Manchester Blue,away,853,1.199,2.141,3.34,47.95,18.17
London Guns,Manchester Blue,home,837,1.691,1.544,3.234,50.78,39.55
London Guns,Manchester Red,away,853,1.263,1.652,2.914,55.8,26.38
London Guns,Manchester Red,home,854,1.516,1.46,2.977,51.99,42.04
London Guns,Newcastle,away,849,1.607,1.126,2.733,45.94,49.94
London Guns,Newcastle,home,884,2.236,0.766,3.002,53.39,75.11
London Guns,Tottenham,away,853,1.011,1.746,2.756,35.99,18.99
London Guns,Tottenham,home,819,1.625,1.148,2.773,50.67,51.89
London Guns,West Ham,away,844,1.726,1.255,2.981,39.81,46.09
London Guns,West Ham,home,836,1.732,1.182,2.914,49.76,51.91
London Guns,Wolverhampton,away,853,1.53,1.275,2.805,46.54,45.25
London Guns,Wolverhampton,home,804,2.108,1.155,3.264,45.02,60.95
Manchester Blue,Aston Villa,away,840,1.383,1.211,2.594,45.12,45.6
Manchester Blue,Aston Villa,home,860,1.802,1.098,2.9,52.79,55.93
Manchester Blue,Bournemouth,away,839,2.097,0.794,2.89,46.36,65.08
