event_id,actual_odd,total_goals,p_odd_from_correct_score,cs_lines,p_odd_oe_market,p_odd_exact_goals,p_over25,gap_cs_minus_oe,cs_pick_odd,oe_pick_odd
vf:match:1404272364,1,1,0.5100061389512699,16,0.5068493150684932,0.5025023786133651,0.4025974025974026,0.003156823882776716,1,1
vf:match:1404272361,0,0,0.47635977719498546,16,0.48611111111111105,0.4769546579072673,0.4533333333333333,-0.009751333916125593,0,0
vf:match:1404272358,1,5,0.5503677150251554,16,0.5205479452054794,0.5038485630900329,0.5974025974025974,0.029819769819675934,1,1
vf:match:1404272348,0,4,0.5091993188388092,16,0.5,0.4871208421314393,0.5789473684210527,0.0091993188388092,1,1
vf:match:1404272347,0,2,0.47170077130035154,16,0.4722222222222222,0.4703334139070613,0.44,-0.0005214509218706698,0,0
vf:match:1404272343,0,6,0.5153142394934473,16,0.49315068493150677,0.48682666459116364,0.49333333333333335,0.02216355456194058,1,0
vf:match:1404272342,0,4,0.4988419101835696,16,0.48611111111111105,0.4656240587744146,0.56,0.012730799072458554,0,0
vf:match:1404272331,1,3,0.49908284562731287,16,0.49315068493150677,0.4813287825497356,0.5466666666666666,0.005932160695806099,0,0
vf:match:1404272326,0,2,0.48171261535372256,16,0.4722222222222222,0.46333955203375365,0.44,0.009490393131500352,0,0
vf:match:1404272320,1,1,0.5026595128912487,16,0.5138888888888888,0.4729900068056643,0.6585365853658537,-0.011229375997640179,1,1
vf:match:1404272319,0,4,0.4999768344330798,16,0.5,0.4839774971394418,0.5657894736842105,-2.3165566920224645e-05,0,1
vf:match:1404272316,0,2,0.48218460368625415,16,0.48611111111111105,0.46506479416871804,0.5974025974025974,-0.003926507424856895,0,0
vf:match:1404272315,0,6,0.49285622169230847,16,0.48611111111111105,0.4725129009873716,0.4666666666666667,0.006745110581197422,0,0
vf:match:1404272314,1,1,0.528860629067063,16,0.5205479452054794,0.519941360719153,0.35802469135802467,0.00831268386158357,1,1
vf:match:1404272310,1,3,0.48594582405367553,16,0.48611111111111105,0.47916562680745,0.5466666666666666,-0.00016528705743551475,0,0
vf:match:1404272306,0,4,0.4951830396663388,16,0.48611111111111105,0.4707543109575867,0.5,0.00907192855522776,0,0
vf:match:1404272300,0,2,0.4882777935257873,16,0.48611111111111105,0.4896469031290348,0.36250000000000004,0.0021666824146762687,0,0
vf:match:1404272296,1,1,0.5087441054640504,16,0.5,0.4890897501568542,0.6202531645569621,0.008744105464050356,1,1
vf:match:1404272291,1,1,0.5026927692806469,16,0.5068493150684932,0.4969938035931728,0.38461538461538464,-0.0041565457878463,1,1
vf:match:1404272285,0,6,0.5033303475555047,16,0.5,0.4927619773510222,0.56,0.0033303475555046536,1,1
vf:match:1404272279,0,4,0.5261239962134863,16,0.5068493150684932,0.5023754677505705,0.5,0.01927468114499309,1,1
vf:match:1404272277,1,1,0.49376100737967504,16,0.49315068493150677,0.48264504812076625,0.5466666666666666,0.0006103224481682767,0,0
vf:match:1404272274,1,1,0.5087273111192459,16,0.5138888888888888,0.5041337691726483,0.3414634146341463,-0.005161577769642989,1,1
vf:match:1404272273,1,1,0.512458177942082,16,0.5,0.5036098278209873,0.4533333333333333,0.012458177942082038,1,1
vf:match:1404272261,1,3,0.4946428998035095,16,0.5,0.4921689623130973,0.4078947368421052,-0.005357100196490494,0,1
vf:match:1404272258,1,1,0.5100489812010619,16,0.5,0.49090971473152734,0.5405405405405405,0.010048981201061902,1,1
vf:match:1404272257,1,3,0.4978157036212736,16,0.5,0.4876087109313474,0.4533333333333333,-0.0021842963787264136,0,1
vf:match:1404272252,0,2,0.5448736430961122,15,0.5277777777777778,0.5182631803079101,0.5733333333333334,0.017095865318334402,1,1
vf:match:1404272249,1,3,0.5301924100192419,16,0.5068493150684932,0.5020373933477369,0.5135135135135135,0.02334309495074871,1,1
vf:match:1404272247,0,0,0.5357956689655207,15,0.5068493150684932,0.4951079231321222,0.527027027027027,0.028946353897027488,1,1
vf:match:1404272236,1,3,0.4982805898322597,16,0.5,0.4907230415919967,0.5405405405405405,-0.0017194101677402984,0,1
vf:match:1404272230,1,3,0.5110907326107353,16,0.5,0.472152798755233,0.6375000000000001,0.011090732610735343,1,1
vf:match:1404272228,0,2,0.5011911075251824,16,0.5138888888888888,0.4983360931516822,0.5921052631578947,-0.012697781363706473,1,1
vf:match:1404272225,1,1,0.49239431681634205,15,0.4794520547945205,0.4691959758260315,0.41558441558441556,0.012942262021821527,0,0
vf:match:1404272219,1,1,0.5018152096831723,16,0.5138888888888888,0.5027426779104746,0.3670886075949367,-0.012073679205716559,1,1
vf:match:1404272217,0,0,0.49652698300625525,16,0.5,0.491073228853671,0.41558441558441556,-0.0034730169937447486,0,1
vf:match:1404272213,1,3,0.46767335271808325,16,0.4722222222222222,0.4684225241923753,0.33333333333333337,-0.004548869504138964,0,0
vf:match:1404272201,1,1,0.47736445566710173,16,0.48611111111111105,0.4823166300131198,0.527027027027027,-0.008746655444009321,0,0
vf:match:1404272197,1,1,0.500618703296257,16,0.5,0.4942305496872087,0.49333333333333335,0.0006187032962570171,1,1
vf:match:1404272195,1,5,0.505097011430393,16,0.5138888888888888,0.49594202416672406,0.5,-0.008791877458495856,1,1
vf:match:1404272194,1,1,0.48794100461547424,14,0.48611111111111105,0.4840363813407784,0.3068181818181818,0.0018298935043631892,0,0
